// Mario
// Criação:		14 Fev 2013
// Atualização:	14 Fev 2013
// Descrição:   Posição das plataformas e obstáculos do nível 1
//
//
//	posX	posY	platType
	0000	584		1
	-010	388		3	
	0800	584		1
	0800	492		2
	1400	584		0
	1900	584		0
	2500	584		1
	2100	494		4
	2100	587		5
	3100	584		0
	3300	494		4
	3300	587		5
	3450	494		4
	3450	587		5
	3600	587		4
	3750	494		4
	3750	587		5
	3900	494		5
	3900	584		5
	3900	401		4
	4500	584		1
	5300	584		1
	4900	584		5
	4900	494		4
	5800	584		1
	5200	492		2
	5270	492		2
	5270	399		2
	5340	492		2
	5340	399		2
	5340	306		2
	5410	492		2
	5410	399		2
	5410	306		2
	5480	492		2
	5480	399		2
	5550	492		2
	5620	306		2
	5760	306		2
	5900	306		2
	6040	306		2
	6180	306		2
	6320	306		2
	6460	306		2
	6600	306		2
	7150	584		1
	7750	584		0
	7550	454		6
        1100	445		10
        1132    445             10
        1164    445             10
        1100	345		11
        1132    345             13
        1164    345             11
        2500    445             10
        2532    445             10
        2564    445             10
        2640    390             10
        2672    390             10
        2704    390             10
        2770    340             10
        2802    340             10
        2834    340             10
        4500    445             10
	0400	500		11
	0425	500		11
	0450	500		11
	0475	500		11
	0500	500		11
	0525	500		11
	0550	500		11
	0900	500		11
	0925	500		11
	0950	500		11
	0975	500		11
	1000	500		11
	1025	500		11
	1050	500		11
	5620	206		11
	5760	206		11
	5900	206		11
	6040	206		11
	6180	206		11
	6320	206		11
	6460	206		11
	6600	206		11
	5620	156		11
	5760	156		11
	5900	156		11
	6040	156		11
	6180	156		11
	6320	156		11
	6460	156		11
	6600	156		11
        2500    345             11
        2532    345             11
        2564    345             11
        2640    290             11
        2672    290             11
        2704    290             11
        2770    240             11
        2802    240             11
        2834    240             11
        4500    345             11
